Country,Count,Percentage
India,16,20.25
United States,8,10.13
Germany,7,8.86
Canada,3,3.8
Egypt,3,3.8
United Kingdom,3,3.8
Argentina,2,2.53
Brazil,2,2.53
France,2,2.53
Greece,2,2.53
Ireland,2,2.53
Italy,2,2.53
Kenya,2,2.53
Philippines,2,2.53
Spain,2,2.53
Colombia,1,1.27
Czechia,1,1.27
El Salvador,1,1.27
Ethiopia,1,1.27
Ghana,1,1.27
Indonesia,1,1.27
Iran,1,1.27
Iraq,1,1.27
Kazakhstan,1,1.27
Netherlands,1,1.27
Nigeria,1,1.27
Portugal,1,1.27
South Africa,1,1.27
Switzerland,1,1.27
Tunisia,1,1.27
United Arab Emirates,1,1.27
Uruguay,1,1.27
Vietnam,1,1.27
Not stated,1,1.27
Pakistan,1,1.27
Mexico,1,1.27
